SN_name,RA,DEC,redshift,host_name,Host_RA,Host_DEC,logd25,e_logd25,logr25,e_logr25,pa,t,t_err,host_type,host_mag,mu,R_host,ratio,ratio_err,SN_type,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,D15,D15_err,phase,filename_csv,Del_Lambda,umap_x,umap_y,DB_label
SN1999cc,240.67513,37.35956,0.0314,NGC6038,240.668913,37.3594862,1.082,0.041,0.059,0.026,63.02,5.1,0.7,Sc,-21.654,35.721,24.882621086479222,0.5056523332088312,0.0500625337103531,NV,128.1468295,0.837130601,35.72258048,0.804713953,6113.179847,6.709611139,5740.740741,0.668029409,0.219650195,1.141558553,0.03,0.328803182,1.35,0.06,-0.2,1999cc_1999-05-17_09-36-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.45376314,5.747916,9.417,3
SN1999cl,187.98337,14.42647,0.0078,NGC4501,187.997064,14.4200354,1.937,0.026,0.296,0.037,138.25,3.3,0.6,Sb,-20.614,30.239,14.17412814891771,0.2437960582241356,0.0150411336549907,HV,126.4659642,0.245506043,21.34706719,0.920256067,6099.833166,0.964753573,5776.776777,0.615485678,0.152724389,1.204564124,0.0,0.248136382,1.17,0.06,0.68,1999cl_1999-06-14_04-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.487805954,6.055805,9.828198,3
SN1999dq,38.49867,20.97511,0.0141,NGC0976,38.500041,20.9767778,1.188,0.043,0.029,0.057,160.0,4.1,0.6,Sbc,-20.709,33.39,11.794950711810417,0.1717633187327621,0.0178768891635057,91T,53.67371216,0.229519376,18.33861917,0.372983223,6134.134134,1.985248553,5818.818819,0.418503714,0.099127046,1.042639807,0.01,0.236860613,0.86,0.04,0.45,1999dq_1999-09-15_10-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.478563557,4.003953,6.021894,1
SN1999ej,20.73908,33.46611,0.0137,NGC0495,20.7340005,33.4703116,1.039,0.043,0.15,0.027,168.77,0.2,0.9,S0-a,-20.968,34.197,11.590338653249926,0.7495976014985974,0.0780170838458781,NV,108.826134,0.264160968,30.65580402,0.313576548,6131.398065,1.844547876,5768.768769,0.643025812,0.266684308,1.055555949,0.01,0.414733441,1.48,0.03,1.1,1999ej_1999-11-02_04-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.479146989,7.5147996,7.722215,2
SN1999ek,84.13167,16.63828,0.0175,UGC03329,84.1348755,16.6414167,1.118,0.041,0.402,0.033,9.96,4.1,0.8,Sbc,-21.224,34.1,20.686934327024087,0.6616843484345959,0.0655106143561278,NV,110.7284574,3.869935535,29.50031479,1.122298044,6127.527528,2.334715473,5788.788789,0.678291197,0.257743931,1.073827565,0.01,0.379990087,1.14,0.03,-0.63,1999ek_1999-10-30_11-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.473622902,7.3752465,6.546474,2
SN1999gd,129.60254,25.75919,0.0183,NGC2623,129.6002805,25.7545702,1.379,0.114,0.536,0.081,36.46,2.7,1.8,Sb,-21.861,34.926,33.25800074349805,0.312171224795761,0.0937043048210791,NV,104.4372082,1.07186016,26.41188571,1.531871798,6129.596263,1.980757034,5788.788789,0.656138468,0.234849578,1.064061701,0.01,0.357926854,1.18,0.05,1.12,1999gd_1999-12-08_12-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.47246519,7.56503,6.52871,2
SN1999gp,37.91313,39.38119,0.0267,UGC01993,37.91682,39.3784191,1.253,0.037,0.693,0.034,140.0,3.2,0.8,Sb,-22.241,35.21,28.359340766573844,0.2968051350970474,0.0263949083660226,91T,44.38947421,0.720276095,3.10294145,0.438014004,6110.577244,1.361099637,5784.784785,0.30557222,0.028890138,1.153844639,0.01,0.094544385,0.87,0.04,0.03,1999gp_2000-01-07_03-07-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.460418139,3.8095813,6.418775,1
SN2000cp,241.36508,17.83022,0.0342,PGC057064,241.363527,17.8310327,0.841,0.058,0.562,0.028,118.42,2.6,4.2,S?,-19.702,36.21,17.486227444892904,0.2920296244256423,0.0417247064472182,NV,82.76626178,1.290355088,17.45453805,1.407825819,6095.295295,3.283527421,5774.774775,0.412456217,0.122227205,1.225986017,0.02,0.296339829,1.09,0.09,-0.56,2000cp_2000-06-24_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.449827212,4.6763763,6.114186,1
SN2000cx,21.19229,9.50858,0.008076,NGC0524,21.19875,9.5387778,1.527,0.039,0.002,0.042,55.0,-1.2,0.6,S0-a,-21.554,32.565,17.325914323050466,1.1029311297862552,0.1036274012030914,00cx,40.71413339,0.199338374,3.482473106,0.147861425,6110.243577,1.7668605,5740.740741,0.348387166,0.04147329,1.155419779,0.01,0.119043679,0.99,0.02,0.43,SN2000cx_2000-07-27_10-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.487399068,3.7640653,6.3577337,1
SN2000dg,1.55754,8.88819,0.0385,PGC000465,1.559184,8.8876207,0.96,0.048,0.334,0.028,91.0,4.2,2.5,Sbc,-21.559,36.172,24.10438883206241,0.2641989823402618,0.0308751511366021,NV,70.48922115,0.60289928,22.85761917,0.64966139,6122.188856,4.730075448,5764.764765,0.48414587,0.149178128,1.099029793,0.02,0.308126408,9.99,9.99,0.17,2000dg_2000-09-03_08-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.443824076,4.8033023,5.7082963,1
SN2000dk,16.848,32.40644,0.0175,NGC0382,16.8489555,32.4037793,0.382,0.247,0.027,0.054,0.0,-4.8,0.6,E,-20.15,34.25,2.765006278306939,1.392133587441342,1.0664269794275776,NV,123.7490087,0.141215564,38.37931963,0.17580881,6124.190858,0.998774077,5770.770771,0.7143316,0.323699883,1.089578957,0.0,0.453150726,1.62,0.05,0.4,SN_2000dk_2000-09-26_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.965164313,7.6428013,8.138537,2
SN2000dm,274.74571,16.24817,0.0149,UGC11198,274.746654,16.2494966,1.103,0.042,0.615,0.029,49.8,2.0,0.3,Sab,-20.51,34.026,13.240248241406452,0.2222615073426699,0.0225682799932088,NV,107.40151,0.38018089,28.58358674,0.346324598,6120.186854,1.124611248,5764.764765,0.677342139,0.221289547,1.108480629,0.01,0.326702761,1.46,0.04,-2.0,SN_2000dm_2000-09-26_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.96983023,6.78559,7.3162966,4
SN2000dn,346.27442,-3.20028,0.0321,IC1468,346.2815835,-3.2045556,1.026,0.049,0.34,0.028,171.23,-0.6,1.5,S0-a,-21.111,36.012,24.894082533873124,1.6966790325845695,0.2026477525749947,NV,107.5497869,0.574769517,20.87237282,0.675821143,6134.801468,4.20208515,5790.790791,0.651229594,0.141115478,1.039489529,0.02,0.216690825,1.04,0.04,-0.95,2000dn_2000-10-06_06-00-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.45277738,7.044065,6.4984646,2
SN2000fa,108.8745,23.42844,0.0213,UGC03770,108.8735475,23.4261556,0.946,0.05,0.48,0.028,33.94,9.8,1.0,IAB,-20.76,34.936,12.70270241466439,0.3948234683098481,0.0481757493253079,NV,96.85711281,0.965069156,13.20268883,0.782915374,6114.514515,0.917432572,5766.766767,0.670397655,0.128779853,1.135257996,0.0,0.192094725,1.0,0.06,0.36,2000fa_2000-12-15_08-38-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.468145967,5.541125,8.112057,1
SN2001ay,216.57083,26.24883,0.0302,IC4423,216.573741,26.2461703,1.008,0.044,0.25,0.024,71.26,4.2,2.5,Sbc,-21.039,35.939,22.67232845943955,0.7287629777985076,0.0777034663157089,HV,155.6716562,0.536986952,11.8528503,0.423313872,6069.936603,4.125074264,5718.718719,0.701142727,0.100796553,1.345696601,0.02,0.143760391,0.68,0.05,0.34,2001ay_2001-04-26_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.455456516,5.9120197,10.504822,3
SN2001br,277.60646,34.10361,0.0209,UGC11260,277.605933,34.1027526,0.957,0.053,0.193,0.03,163.0,1.1,0.6,SBa,-20.218,35.179,14.94500705138612,0.1657232382439993,0.0215101992904178,HV,101.9987587,0.589380838,16.69858692,0.561788463,6078.878879,1.302584004,5770.770771,0.534485582,0.131459045,1.303482869,0.01,0.245954333,1.16,0.04,-0.46,2001br_2001-05-21_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.468715156,5.037164,10.399903,3
SN2001cp,257.76075,5.84078,0.0224,UGC10738,257.774253,5.8521138,1.08,0.044,0.53,0.028,49.22,4.1,0.3,Sbc,-21.28,35.165,20.830328883421867,1.7553214952247391,0.187159019918197,NV,80.96952072,0.473811783,5.171087808,0.646255484,6131.064398,3.850349479,5782.782783,0.590188428,0.077043054,1.057131089,0.02,0.130539757,0.88,0.03,0.6,SN_2001cp_2001-06-29_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.955630652,6.158229,5.73233,2
SN2001da,358.38658,8.11739,0.0172,NGC7780,358.3839675,8.1180803,0.996,0.097,0.264,0.057,0.1,2.0,0.4,SABa,-20.219,34.414,11.336947219582024,0.581489254850076,0.1455229370008047,NV,113.865087,0.444578879,27.82933373,0.429160359,6111.778445,0.943752794,5790.790791,0.663977577,0.223023657,1.148174138,0.0,0.335890344,1.12,0.03,-0.04,2001da_2001-07-16_11-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.474057514,6.2223244,9.109529,3
SN2001en,21.34542,34.02514,0.0164,NGC0523,21.336615,34.0249907,1.401,0.064,0.549,0.069,103.7,4.2,2.5,Sbc,-21.945,34.319,26.76061814195632,0.4615181531401394,0.073278632173188,HV,138.3235037,0.420640891,11.04283719,0.317710887,6086.419753,2.496935193,5758.758759,0.717044653,0.079779366,1.267884722,0.01,0.111261364,1.12,0.07,0.39,2001en_2001-10-11_09-21-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.475217732,5.9117684,10.241564,3
SN2001ep,74.25108,-4.76117,0.013,NGC1699,74.2483185,-4.7568652,1.014,0.079,0.147,0.051,165.52,3.1,0.6,Sb,,33.54,7.919470128481544,0.6208029398717712,0.123849753897504,NV,113.0993362,0.255561324,33.0713527,0.325796852,6131.731732,1.563613549,5782.782783,0.695788923,0.226519068,1.05398081,0.01,0.325557164,1.3,0.06,0.43,2001ep_2001-10-18_10-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.480169105,7.724523,6.695067,2
SN2001ex,103.99954,55.40083,0.0264,UGC03595,104.0017755,55.4007027,1.072,0.082,0.042,0.06,165.0,3.0,0.4,Sb,-20.537,35.32,20.83032884899141,0.1412902640852436,0.0293620716428042,NV,114.9834554,0.672665237,53.96876155,1.059704907,6152.485819,0.943752794,5770.770771,0.727064323,0.477233952,0.956007148,0.0,0.656384774,1.56,0.12,-2.1,SN_2001ex_2001-10-20_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.948047291,7.9197507,7.488798,2
SN2001fe,144.48792,25.49481,0.0134,UGC05129,144.491652,25.4947736,1.069,0.049,0.286,0.027,104.3,1.1,0.5,SBa,-19.971,33.81,9.788048794553106,0.3702874945990499,0.0442263546292647,NV,70.70653663,0.221441497,20.35728181,0.322479878,6123.857191,1.50557413,5830.830831,0.574074754,0.063533455,1.091154097,0.01,0.110671049,1.0,0.07,0.31,2001fe_2001-11-16_12-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.479584866,5.2242265,6.358712,1
SN2001fh,320.17708,44.39811,0.0123,PGC066592,320.1769995,44.3997222,1.16,0.153,0.42,0.063,160.67,9.0,2.0,Sm,-22.333,33.626,21.62201406581981,0.1652601284421362,0.0697941096047288,NV,96.92624417,1.369391474,38.32189655,1.459789794,6124.190858,0.998774077,5760.760761,0.554679551,0.229484677,1.089578957,0.0,0.413724783,1.51,0.08,-1.7,2001fh_2001-11-09_02-24-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.481192634,4.96957,5.699102,1
SN2001N,159.992,24.09056,0.021,NGC3327,159.991347,24.0912595,1.101,0.04,0.164,0.026,80.67,3.1,0.4,Sb,-21.353,34.976,18.318762263019146,0.1181387470219349,0.0113978132072923,HV,116.1988086,1.040687246,17.3138687,0.867948764,6076.810143,3.217075954,5780.780781,0.422634863,0.162319198,1.313248733,0.02,0.384064856,9.99,9.99,0.66,2001N_2001-01-22_11-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.468571306,4.9979906,10.7420025,3
SN2002bf,153.92629,55.66853,0.0244,PGC029953,153.926073,55.6675086,1.014,0.048,0.157,0.029,30.39,3.0,0.6,Sb,-21.133,35.315,17.28606432553387,0.129258061597254,0.0151055168800749,HV,140.2071295,0.502517984,9.27184505,0.358895198,6042.175509,0.992063313,5760.760761,0.63466272,0.079030644,1.476748188,0.0,0.124523848,1.12,0.08,1.82,2002bf_2002-03-06_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.463697094,5.1592746,10.908515,3
