SN_name,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,phase,filename_csv,Del_Lambda
SN2003cg,94.899638,1.03492275,19.42705827,1.613037513,6120.053387,1.612685482,5770.770771,0.636259606,0.16573687,1.109110684,1.00E-02,0.260486236,0.21,SN2003cg_2003-03-31_05-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.493269486
SN2003ch,104.8978165,1.292811484,22.57873361,1.224154392,6124.524525,10.26241666,5784.784785,0.604480416,0.153211038,1.088003818,5.00E-02,0.253459061,-0.17,2003ch_2003-03-27_03-07-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.462840296
SN2003cq,129.4656398,1.601014777,26.61350224,1.500995853,6124.858192,1.984126626,5766.766767,0.655448929,0.251063002,1.086428679,1.00E-02,0.383039762,0.22,2003cq_2003-04-10_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.451090006
SN2003du,83.13464456,1.203586031,9.679987484,0.139889219,6135.001668,0.499387039,5770.770771,0.575520733,0.086134314,1.038544445,0.00E+00,0.149663268,-0.7,SN2003du_2003-05-05_07-12-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.489864253
SN2003gq,37.95826395,0,49.70457094,1.31070259,6236.236236,1.001001001,5762.762763,0.242291933,0.203421112,0.560647193,0.00E+00,0.839570305,-0.61,SN2003gq_2003-07-27_07-03-22_Lick-3m_KAST_UCB-SNDB.csv,1.957545309
SN2003it,100.3575234,0.459894352,19.33319704,0.446160395,6112.979646,0.499387039,5750.750751,0.631421611,0.183514099,1.142503637,0.00E+00,0.290636393,-0.24,2003it_2003-10-22_06-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.462697593
SN2003iv,108.8844054,1.099899552,32.38400968,1.080153854,6125.592259,0.846751921,5762.762763,0.718088405,0.23757384,1.082963372,0.00E+00,0.33084205,0.38,2003iv_2003-10-22_09-07-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.449687038
SN2003W,104.7153637,0.713001021,8.578709263,0.495699131,6078.745412,2.483522732,5792.792793,0.420599221,0.04111394,1.304112925,1.00E-02,0.09775087,0.35,2003W_2003-02-10_08-24-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.469866977
SN2004at,92.15596605,0.294259815,10.50082518,0.298511295,6134.267601,1.912118623,5772.772773,0.61290181,0.116856894,1.042009752,1.00E-02,0.190661689,0.2,2004at_2004-03-28_04-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.466703808
SN2004ef,131.0974199,0.633933762,30.24080012,0.650979451,6102.102102,1.985248553,5740.740741,0.660489102,0.25193306,1.193853177,1.00E-02,0.38143409,0.34,SN2004ef_2004-09-16_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.425288518
SN2004fu,135.5455707,0.241479799,20.47463201,0.258924735,6103.370037,0.680549818,5744.744745,0.709108527,0.163688907,1.187867647,0.00E+00,0.230837595,2.4,SN_2004fu_2004-11-19_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.981196235
SN2004gs,140.9539178,0.743037511,49.6463945,0.849879199,6125.658992,18.25326233,5766.766767,0.692064094,0.363017447,1.082648345,9.00E-02,0.524543102,-0.31,2004gs_2004-12-16_11-45-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.431375068
SN2005am,131.3962336,0.304203422,32.5627186,0.431744545,6101.768435,2.984408378,5750.750751,0.680957579,0.272455725,1.195428316,1.00E-02,0.400106752,0.25,SN2005am_2005-03-08_06-00-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.457229524
SN2005bc,115.9454474,0.1848863,40.4134064,0.238937886,6129.129129,2.73E-12,5770.770771,0.690491089,0.312671471,1.066266896,0.00E+00,0.452824774,1.97,SN_2005bc_2005-04-11_11-22-33_Lick-3m_KAST_UCB-SNDB_0.csv,1.975200277
SN2005bo,101.5394144,0.34966645,32.40114429,0.428110571,6119.51952,3.244643518,5756.756757,0.667613962,0.221835158,1.111630907,2.00E-02,0.332280585,-0.09,2005bo_2005-04-18_05-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.449590461
SN2005el,91.03061477,0.211493878,19.70277968,0.276433914,6131.865199,0.964753573,5778.778779,0.610186437,0.170495165,1.053350754,0.00E+00,0.279414872,1.13,SN_2005el_2005-10-04_12-48-57_Lick-3m_KAST_UCB-SNDB_0.csv,1.970069471
SN2005eq,48.30529398,0.215473813,10.86367275,0.273310203,6154.954955,0.600600601,5766.766767,0.412144938,0.070749948,0.944351117,0.00E+00,0.171662786,0.38,SN_2005eq_2005-10-11_09-01-26_Lick-3m_KAST_UCB-SNDB_0.csv,1.943131112
SN2005hk,56.27514373,1.49247115,21.90863214,1.385955905,6208.942276,1.124611248,5776.776777,0.272338353,0.149682925,0.689493585,1.00E-02,0.549621171,-0.78,SN2005hk_2005-11-09_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.450683805
SN2005ki,101.8198298,0.528325737,19.91769784,0.540617288,6123.923924,0.980776674,5772.772773,0.666324596,0.193269506,1.090839069,0.00E+00,0.290053087,1.02,2005ki_2005-12-02_12-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.441202286
SN2005M,52.11914912,0.530516334,9.309027422,0.451013967,6183.71705,2.682649482,5814.814815,0.344665831,0.108713879,0.808574113,1.00E-02,0.315418209,-0.74,2005M_2005-02-04_06-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.43781705
