objname,pgc,objtype,al1950,de1950,al2000,de2000,l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,m21,e_m21,mfir,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,itc,ubtc,bvtc,bri25,vrot,e_vrot,mg2,e_mg2,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs
ESO489-007,18455,G ,6.100422,-23.9833382,6.1348715,-23.9918985,230.468766,-19.7716001,257.6724371,-76.2155946,0,,,,,,,,,0.832,0.054,0.115,0.032,10.74,19.146,0.655,,,14.932,0.422,,,13.335,0.096,11.457,0.234,,,,,,,,,,167.8,11.59,,,14668.9,34.7,14668.9,34.7,0.183,,40.72,0.02,,14.602,13.255,,,22.83,,,,,,,14457.8,14492.8,14420.4,14768.9,36.636,0.075,,,36.636,0.075,-22.033,0.429
ESO508-075,46959,G ,13.3801854,-24.3924876,13.4259386,-24.652353,312.7239673,37.5698556,142.1864878,0.1895686,0,Sc,,,,,5,2,,0.896,0.066,0.539,0.055,172.82,20.763,0.49,,,15.998,0.198,,,15.73,1.175,11.722,0.085,,,13.538,,,166,2.7,,,,,,,9939,32.2,9939,32.2,0.354,0.891,77.8,0.08,0.907,14.697,15.574,,,23.216,169.84,2.79,,,,,9733.4,9813,9896.8,10236,35.807,0.11,35.44,0.05,35.503,0.184,-20.806,0.27
ESO510-031,49713,G ,13.9248292,-23.1286468,13.9714355,-23.3716493,322.2278619,36.9826457,143.430306,7.669463,0,Sb,,,,,2.7,1.5,,0.95,0.092,0.286,0.049,75.23,22.583,0.337,,,15.732,0.188,,,13.86,0.077,12.216,0.152,,,,,,,,,,,,,,11019.2,39.2,11019.2,39.2,0.314,0.394,62.65,0.04,0.968,14.942,13.722,,,23.773,,,,,,,10841.5,10915.6,10999.6,11288.7,36.038,0.099,,,36.038,0.099,-21.097,0.213
ESO525-004,63175,G ,19.354352,-26.0833744,19.4055512,-25.9849533,12.5069193,-18.3134698,216.2607219,47.7006756,0,SABa,B,R,,,2.2,1.8,,1.039,0.04,0.183,0.025,91.99,,,,,14.75,0.5,,,12.895,0.094,10.836,0.107,,,,,,,,,,,,,,6093,28,6093,28,0.383,0.238,51.89,0.03,1.067,14.068,12.726,,,23.409,,,,,,,6149.4,6146.8,6091,5931.7,34.738,0.178,34.61,0.059,34.623,0.056,-20.555,0.503
ESO527-011,64161,G ,20.0917325,-25.605091,20.1419889,-25.4585556,16.7891438,-27.4649009,230.2357237,45.1105043,0,SABc,B,R,,,4.9,0.8,,1.136,0.029,0.358,0.019,172.17,,,,,14.77,0.397,,,12.467,0.406,10.676,0.087,,,12.285,0.48,0.88,208.61,3.65,,,,,,,8346.2,37.9,8346.2,37.9,0.612,0.6,66.69,0.04,1.18,13.513,12.198,,,23.521,227.16,4.02,,,,,8423,8410,8331.1,8133.8,35.423,0.131,,,35.423,0.131,-21.91,0.418
ESO538-008,73036,G ,23.916103,-22.2789537,23.9589393,-22.0005426,52.7202054,-76.7254211,271.2357565,6.8971921,0,Sb,,,,,3,0.4,,0.836,0.055,0.25,0.054,69.78,22.88,0.799,,,16.451,0.602,,,12.835,0.084,10.378,0.069,,,,,,,,,,,,,,10095.9,31,10095.9,31,0.107,0.363,58.85,0.03,0.836,15.905,12.788,,,23.957,,,,,,,10172.6,10132.7,9970.4,9778.7,35.817,0.109,,,35.817,0.109,-19.912,0.612
ESO538-013,73098,G ,23.9327312,-18.9923966,23.97552,-18.7139731,64.8287404,-75.2115592,274.4330253,7.7920162,1,Sab,,,,,2,1.4,,1.031,0.041,0.322,0.023,24.48,22.543,0.311,,,15.477,0.21,,,13.475,0.079,11.807,0.099,,,,,,,,,,,,,,10206,37,10206,37,0.095,0.39,66.72,0.04,1.027,14.89,13.433,,,23.919,,,,,,,10298.2,10253.8,10094.2,9879.6,35.844,0.108,35.959,0.023,35.959,0.023,-21.069,0.212
ESO544-031,8610,G ,2.2124772,-20.9999927,2.2512796,-20.7677367,199.0123703,-69.8912154,280.283639,-23.8334521,0,Sa,,,,,1.4,1.3,,0.981,0.04,0.306,0.027,6.24,21.744,0.302,,,15.402,0.217,,,13.115,0.079,10.92,0.13,,,,,,,,,,280,18.65,,,15903.8,30,15903.8,30,0.076,0.306,66.31,0.04,0.976,14.821,13.081,,,23.681,,,,,,,15894.7,15868.4,15707.8,15680.5,36.827,0.069,35.94,0.18,36.713,0.443,-21.891,0.494
ESO545-038,9874,G ,2.561926,-17.4801164,2.6010021,-17.2628739,196.1755009,-63.9203695,284.9740063,-28.2061113,0,Sbc,,R,,,3.9,2.5,,1.017,0.044,0.3,0.028,164.5,24.409,1.303,,,14.5,0.2,,,13.865,0.075,12.083,0.093,,,12.985,,,,,,,,,,,4666,24,4666,24,0.11,0.474,62.79,0.04,1.015,13.885,13.816,,,22.79,,,,,,,4654.2,4627.5,4474.5,4459,34.073,0.243,35.98,0.04,35.98,0.04,-22.095,0.204
ESO552-052,16595,G ,4.9977755,-21.2079765,5.0335292,-21.137,221.5458234,-33.085087,280.6805447,-62.6930539,0,E-S0,,,,,-3.2,1.2,,1.144,0.045,0.149,0.023,67.47,20.652,0.759,,,13.941,0.103,13.041,0.103,12.123,0.079,10.313,0.07,,,,,0.92,,,,,146.42,11.68,,,4591.3,25.7,4591.3,25.7,0.118,0,57.34,0.03,1.154,13.754,12.071,,0.824,23.391,,,0.273,0.01,,,4438.8,4452.9,4350,4593.1,34.013,0.25,34.055,0.062,34.055,0.062,-20.3,0.12
ESO554-033,17795,G ,5.7390249,-17.7991569,5.7757861,-17.7814722,222.2785521,-22.0867367,286.8142767,-73.4843251,0,Sbc,,,,,4.4,3,,1.008,0.041,0.521,0.029,100.95,21.967,0.312,,,15.78,0.2,,,14.405,0.072,12.349,0.413,,,,,,,,,,,,,,7494.8,60,7494.8,60,0.311,0.83,77.67,0.08,1.016,14.59,14.268,,,23.624,,,,,,,7318.2,7341.4,7266.1,7561.6,35.13,0.15,,,35.13,0.15,-20.541,0.25
ESO563-031,24913,G ,8.8333893,-17.5553359,8.8717611,-17.7444637,243.6906321,16.7161129,124.812125,-61.8724083,0,S0,B,,,,-2,0.4,,1.186,0.038,0.131,0.025,123.49,21.666,0.539,,,14.043,0.295,,,10.879,0.193,9.155,0.044,,,,,,,,,,116.52,4.91,,,1699.3,14.1,1699.3,14.1,0.846,0,49.92,0.02,1.277,13.172,10.507,,,23.709,,,0.266,0.009,,,1429.7,1498.3,1527.7,2000.1,31.754,0.71,,,31.754,0.71,-18.582,0.769
ESO567-057,30320,G ,10.3234069,-19.2421819,10.3633723,-19.4948302,261.0403348,30.9464765,128.8809432,-40.7548877,0,Sab,,,,,1.7,2,,0.964,0.068,0.406,0.047,90.7,21.5,0.365,,,15.07,0.186,,,13.145,0.08,10.863,0.071,,,13.067,,,,,,,,,,,5954.8,20.8,5954.8,20.8,0.268,0.44,74.6,0.06,0.973,14.302,13.027,,,23.107,,,,,,,5678.9,5760.6,5826.5,6307.8,34.647,0.186,,,34.647,0.186,-20.345,0.263
ESO571-015,36245,G ,11.6409516,-22.199923,11.6829868,-22.4772664,282.2789301,37.55252,134.6812171,-22.6994439,0,Sb,,,,,3.5,1,,1.188,0.029,0.75,0.025,34.05,,,,,15.92,0.5,,,13.592,0.111,11.007,0.09,15.5,0.102,,,0.9,195.08,3.02,,,,,7086.8,4.8,7138.1,39.2,7087.6,5.5,0.241,1.037,90,0.83,1.18,14.589,13.486,,,24.411,195.08,,,,14.674,0.084,6827.5,6913.6,6995.2,7441.2,35.042,0.155,,,35.042,0.155,-20.452,0.524
ESO573-014,39920,G ,12.3110304,-21.7183576,12.3543886,-21.9957355,293.7428716,40.3370365,135.8903896,-13.437613,0,Sc,,,,,6,2.2,,0.834,0.077,0.217,0.038,95.8,,,,,15.78,0.5,,,14.171,0.066,12.635,0.077,16.856,0.112,,,0.88,101.98,1.68,,,,,6854.5,5,6901,34.2,6855.5,5.9,0.219,0.384,53.93,0.03,0.846,15.146,14.075,,,23.262,126.16,2.2,,,16.828,1.682,6616.5,6700.9,6789.9,7197.1,34.976,0.16,35.118,0.021,35.118,0.021,-19.972,0.5
ESO576-040,46574,G ,13.3002429,-21.789166,13.3454905,-22.0510692,311.8446222,40.3132477,139.3740953,-0.1005719,0,SBcd,B,,,,6.7,0.9,,1.345,0.026,0.58,0.028,158.33,23.172,1.11,,,14.686,0.198,,,12.982,0.057,11.784,0.255,14.378,0.138,,,0.97,76.16,1.17,,,,,2085.4,2.9,2091.4,16.4,2085.6,2.2,0.488,1.023,78.01,0.08,1.367,13.167,12.767,,,24.01,77.86,1.2,,,14.297,1.131,1884.1,1962.9,2053.6,2390.1,32.384,0.528,32.325,0.045,32.325,0.045,-19.158,0.203
ESO576-054,47006,G ,13.3903897,-19.5171195,13.4354977,-19.7767178,314.001431,42.3481708,137.573436,1.775988,0,E-S0,B,,,,-2.9,0.6,,0.957,0.043,0.183,0.026,43.73,19.952,0.325,,,14.85,0.297,,,,,10.66,0.057,,,,,,,,,,235.9,11.39,,,7102.6,32.8,7102.6,32.8,0.366,0,62.83,0.04,0.997,14.378,,,,23.36,,,,,,,6911.9,6988.6,7084.8,7405.4,35.067,0.153,,,35.067,0.153,-20.69,0.334
ESO578-026,50478,G ,14.0984351,-21.3605927,14.145,-21.5971667,325.8425154,37.8132411,142.6402103,10.5549758,0,SBc,B,R,,,4.6,0.7,,1.214,0.038,0.237,0.029,73.46,,,,,14.545,0.407,,,12.855,0.071,10.562,0.356,15.162,0.185,13.6,,,91.57,5.06,,,,,8738.8,10.5,8719.9,21,8735,8.6,0.347,0.397,56.54,0.03,1.237,13.752,12.702,,,23.911,109.77,6.13,,,15.131,1.379,8571.1,8642.3,8729.4,8995.9,35.53,0.124,,,35.53,0.124,-21.778,0.426
ESO579-022,51410,G ,14.3481929,-19.2173882,14.3946944,-19.4438611,331.0280434,38.3437174,141.9634371,14.6172879,0,Sa,,R,,,1,2,,1.019,0.042,0.067,0.026,87.66,,,,,15.86,0.5,,,13.325,0.079,11.251,0.201,16.96,0.092,,,,71.73,3.81,,,,,10832,6.1,10814,95,10831.9,4.8,0.421,0.064,33,0.02,1.056,15.24,13.14,,,24.619,131.69,7.37,,,16.938,1.699,10687.3,10754.3,10844.1,11078.4,36.004,0.1,,,36.004,0.1,-20.764,0.51
ESO580-044,53034,G ,14.8056907,-21.1844105,14.8532857,-21.3898839,336.7958462,33.4902901,146.6352713,19.6593373,0,Sc,,,,,5,2,,0.864,0.048,0.154,0.024,,22.917,0.317,,,15.558,0.202,,,13.805,0.076,12.135,0.136,,,,,,,,,,,,,,16227,32.3,16227,32.3,0.507,0.265,46.75,0.02,0.906,14.697,13.582,,,23.323,,,,,,,16098.8,16161.5,16240.3,16439.9,36.899,0.067,,,36.899,0.067,-22.202,0.213
ESO601-005,67855,G ,21.980829,-21.7525035,22.0272183,-21.5112162,31.7157398,-51.0906313,258.5929527,31.0281122,0,Sb,,,,,3.4,1.3,,1.22,0.027,0.731,0.024,65.38,21.825,0.702,,,15.087,0.198,,,13.097,0.063,11.021,0.086,15.48,0.092,,,0.92,145.32,2.24,,,,,5189.7,7.1,5185.7,26,5189.4,4.9,0.146,1.003,90,0.83,1.204,13.899,13.033,,,23.776,145.32,,,,14.654,0.755,5301.7,5265.4,5137,4879.7,34.37,0.211,,,34.37,0.211,-20.471,0.289
IC0126,5577,G ,1.4541742,-2.2416557,1.4966264,-1.98375,144.624912,-63.228413,296.8901847,-8.9062756,0,,,,,,,,,0.95,0.052,0.04,0.026,,22.79,0.306,,,15.658,0.319,,,13.262,0.076,11.092,0.207,,,,,,,,,,147.9,41.76,,,5903.2,50.6,5903.2,50.6,0.169,,24.69,0.02,,15.43,13.188,,,24.146,,,,,,,6011,5954.1,5811.9,5602.3,34.632,0.188,34.306,0.026,34.306,0.026,-18.877,0.32
IC0390,15844,G ,4.6606049,-7.3006445,4.7010878,-7.206382,204.0907305,-31.9765445,307.2683346,-56.3840992,0,S0-a,B,,,,-0.8,1,,1.056,0.045,0.451,0.027,35.42,,,,,15.48,0.491,,,12.865,0.079,10.499,0.07,,,,,,,,,,,,,,4720.4,29.6,4720.4,29.6,0.493,0,90,0.83,1.084,14.917,12.648,,,24.409,,,,,,,4635.8,4629.4,4536.1,4679.2,34.093,0.24,,,34.093,0.24,-19.177,0.546
IC0522,25009,G ,8.8459419,57.3571454,8.9096988,57.1667243,159.7923228,39.0594576,42.5506981,-13.0036332,0,S0,,R,,,-1.9,0.5,,1.094,0.065,0.085,0.039,165.44,21.519,0.572,15.388,0.269,13.865,0.219,,,12.476,0.076,10.001,0.046,,,,,,,,,,149.46,12.05,,,5065.5,2,5065.5,2,0.205,0,40.02,0.02,1.113,13.584,12.385,,,23.077,,,0.24,0.009,,,5148.1,5125.6,5246.5,5192.9,34.421,0.207,34.18,0.041,34.18,0.041,-20.596,0.223
IC0577,28662,G ,9.8899213,10.7366791,9.9344367,10.4988569,226.2476328,45.5807902,89.0019194,-38.089493,0,Sc,,,,,4.8,1.8,,0.791,0.056,0.037,0.023,,21.015,0.243,16.106,0.344,14.583,0.41,,,13.967,0.126,11.578,0.102,16.92,0.189,,,,131.25,6.08,,,171.92,45.24,9037,3.6,9002.4,3.2,9017.2,12.1,0.12,0.063,23.74,0.02,0.801,14.351,13.915,,,22.209,326.05,16.77,,,16.898,2.547,8850.3,8900.6,9012.8,9351,35.593,0.12,,,35.593,0.12,-21.241,0.428
IC0582,28838,G ,9.9376286,18.0568081,9.9833931,17.8171826,216.8544218,49.2973509,81.7819758,-33.6302552,0,Sb,,,,,3.2,2.1,,0.989,0.082,0.031,0.044,,21.879,0.275,15.388,0.272,14.574,0.296,,,13.36,0.114,11.012,0.084,15.973,0.242,12.362,,,109.68,6.61,,,,,7646,5.1,7626.4,3.4,7632.5,6.6,0.145,0.048,22.2,0.02,1.001,14.324,13.296,,,23.202,290.28,20.8,,,15.952,1.628,7501.3,7542.4,7665.5,7951.3,35.24,0.142,34.59,0.2,35.023,0.325,-20.699,0.439
IC0603,30166,G ,10.2816873,-5.4048266,10.3236222,-5.6561944,248.937128,40.7618077,110.9691714,-38.920844,0,SBa,B,R,,,0.6,0.9,,1.117,0.043,0.222,0.036,174.33,,,,,14.887,0.445,,,,,10.492,0.087,,,,,,,,,,,,,,5415.1,32.4,5415.1,32.4,0.216,0.162,58.51,0.03,1.128,14.442,,,,24.004,,,,,,,5182.7,5253.2,5347.8,5775.7,34.455,0.203,,,34.455,0.203,-20.013,0.489
IC0708,35720,G ,11.5211853,49.3384557,11.5664554,49.0621064,152.0240295,63.461248,64.3857194,-0.7943634,0,E,,,,,-5,0.5,,1.175,0.071,0.183,0.069,139.69,21.388,0.835,15.889,0.039,14.127,0.263,,,12.783,0.082,10.138,0.075,16.539,0.266,,,,181.46,11.61,,,273.06,11.71,9471,10.9,9483.3,2,9483,,0.085,0,90,0.83,1.181,13.9,12.745,,,23.844,181.46,,0.312,0.018,15.713,1.813,9535.7,9534.3,9695.9,9689,35.76,0.112,,,35.76,0.112,-21.86,0.286
IC0807,42635,G ,12.6597357,-17.1295641,12.7034708,-17.4035694,299.7947689,45.4119719,132.4673286,-7.6019731,0,E-S0,,,,,-2.9,1.1,,1.053,0.116,0.208,0.081,,21.331,0.274,,,14.605,0.501,,,12.459,0.095,10.147,0.099,,,,,,,,,,157.5,14.8,,,10952.7,31,10952.7,31,0.185,0,67.55,0.04,1.068,14.256,12.378,,,23.586,,,,,,,10739.4,10819.5,10921.5,11289.5,36.021,0.1,35.06,0.29,35.92,0.481,-21.664,0.694
IC0867,46283,G ,13.2484137,20.9012183,13.2888307,20.638068,346.6541639,81.2199978,97.782963,10.5445812,0,Sc,B,,M,,5.2,0.5,,1.105,0.043,0.153,0.029,18.27,23.936,0.337,15.787,0.234,14.916,0.65,,,13.298,0.233,11.225,0.178,16.449,0.188,,,,85.84,3.27,,,,,6874.5,3.6,6856,2.3,6861.4,6.2,0.121,0.265,46.53,0.02,1.11,14.492,13.245,,,23.884,118.28,4.64,,,16.427,1.935,6826.1,6861.5,7027.9,7139.1,35.055,0.154,,,35.055,0.154,-20.562,0.668
IC1129,55330,G ,15.5281261,68.4139875,15.5335611,68.2463611,104.0202441,42.504993,45.512342,28.5025913,0,Sc,,,,,5.9,0.4,,1.004,0.088,0.069,0.048,3.28,,,13.771,0.015,13.722,0.295,13.503,0.013,,,11.605,0.112,16.084,0.272,12.797,-0.028,0.518,55.42,2.45,,,,,6543.4,4.7,6542,8.6,6543.1,3.1,0.119,0.123,32.08,0.02,1.013,13.451,,-0.195,0.32,22.348,104.35,5.15,,,16.062,2.612,6756.3,6712.2,6848.3,6559.1,34.989,0.158,33.56,0.19,34.403,0.715,-20.953,0.773
IC1277,61491,G ,18.1426674,30.9915498,18.1742444,31.0031111,57.6848946,21.7501506,58.1505988,71.6290332,0,Sc,,,,,5.8,0.6,,0.992,0.051,0.163,0.036,20.55,,,,,14.95,0.32,,,,,11.959,0.231,15.791,0.151,,,,103.07,2.95,,,,,8397.4,6.5,7003,18,8397.4,6.5,0.274,0.287,47.63,0.02,1.011,14.351,,,,23.331,139.5,4.18,,,15.77,1.419,8628.1,8586.5,8666.9,8294.5,35.509,0.125,,,35.509,0.125,-21.159,0.343
IC1427,67948,G ,22.0194877,14.8642504,22.0597639,15.1067778,73.837037,-31.336668,302.3467101,44.6448071,0,E,,,,,-4.9,0.3,,1.056,0.089,0.136,0.058,103.34,,,,,15.185,0.281,,,,,10.25,0.089,,,,,,,,,,,,,,7725,56,7725,56,0.189,0,68.23,0.05,1.08,14.88,,,,24.316,,,,,,,7990.8,7913.8,7845.3,7374.2,35.287,0.139,,,35.287,0.139,-20.407,0.313
IC1468,70429,G ,23.0424621,-3.4746569,23.0854389,-3.2045556,71.5946442,-55.1033566,285.0563034,25.3573926,0,S0-a,B,,,,-0.6,1.5,,1.026,0.049,0.34,0.028,171.23,,,,,15.25,0.5,,,,,10.838,0.047,,,,,,,,,,,,,,9613,65,9613,65,0.205,0,76.26,0.07,1.031,14.901,,,,24.052,,,,,,,9799,9734.8,9608.1,9248.8,35.741,0.114,36.045,0.04,36.012,0.152,-21.111,0.523
IC1481,71070,G ,23.2812658,5.6324186,23.3236389,5.9061944,85.5659526,-50.1691737,295.8170842,24.569226,0,Sd,,,,,8,2,S3,0.863,0.121,0.048,0.057,45,,,,,14.473,0.318,14.4,0.1,,,10.658,0.063,16.948,0.243,12.943,,,84.86,5.03,,,,,6068,5,6126,35.2,6069.1,6.6,0.332,0.088,29.28,0.02,0.892,14.038,,,,22.429,173.52,11.9,,,16.927,2.888,6286.3,6212.4,6098.2,5699.4,34.738,0.178,,,34.738,0.178,-20.7,0.364
IC1735,6803,G ,1.7994536,32.845039,1.8476945,33.0922727,137.0317042,-28.1472211,331.9683754,-2.6798498,0,S0,,,,,-1.8,0.9,,0.927,0.056,0.09,0.028,156.7,21.959,0.345,17.049,0.019,15.072,0.5,,,13.546,0.077,11.055,0.074,,,,,,,,,,182.73,14.06,,,11365.4,2.6,11365.4,2.6,0.2,0,41.12,0.02,0.945,14.701,13.458,,,23.447,,,,,,,11575.6,11495.7,11436.9,11104.8,36.122,0.095,35.747,0.083,35.911,0.187,-21.21,0.534
IC1844,10448,G ,2.7203251,3.0213243,2.7637,3.2310278,169.6596445,-48.9800638,307.9548517,-25.5647085,0,Sbc,,,,,4,2,,0.975,0.053,0.412,0.027,97.03,22.112,0.382,,,14.987,0.292,,,,,11.326,0.065,16.15,0.297,13.149,,,145.21,5.22,,,,,6809.3,4.2,6846,275,6809.3,3.3,0.164,0.646,71.27,0.05,0.974,14.132,,,,22.873,153.33,5.55,,,16.098,1.966,6873.7,6825.6,6705.5,6589,34.949,0.162,34.776,0.055,34.794,0.087,-20.661,0.305
IC1956,13279,G ,3.5485353,4.9016509,3.5925444,5.0670278,180.1409805,-38.9390076,315.2238818,-36.4532052,0,Sbc,B,,,,4,0.5,,1.119,0.039,0.449,0.027,32.75,,,,,15.527,0.323,,,,,10.644,0.052,16.205,0.234,12.814,,,176.37,5.35,,,,,6406.7,5.3,6400,6,6403.7,3.7,1.06,0.7,73.73,0.06,1.2,13.727,,,,24.072,183.73,5.6,,,16.145,2.418,6429.8,6391.9,6291.1,6250.9,34.81,0.172,,,34.81,0.172,-21.084,0.366
IC2531,28909,G ,9.9613423,-29.3772225,9.9987513,-29.6176268,263.9257915,19.9757137,142.9456632,-45.4595805,0,Sc,,,,,5,0.5,,1.815,0.012,1.041,0.036,75.01,23.249,1.241,12.324,0.154,12.894,0.154,12.225,0.069,10.887,0.064,8.488,0.14,13.558,0.103,,0.49,0.91,228.34,3.16,,,,,2474.2,2.9,2474,5,2474.2,1.7,0.358,1.606,90,0.83,1.807,10.917,10.73,-0.833,0.603,23.896,228.34,,,,12.732,1.815,2174.1,2258.9,2292.7,2800,32.623,0.473,32.757,0.259,32.726,0.227,-21.809,0.275
IC3284,40400,G ,12.3680863,11.1160092,12.4104306,10.8390738,280.4799704,72.5317038,103.9302678,-4.2490194,0,SBab,B,R,,,1.8,2,,0.743,0.067,0.044,0.027,,23.407,0.481,16.364,0.253,15.25,0.315,,,14.306,0.141,11.979,0.105,,,,,,,,,,,,,,7846.2,3.4,7846.2,3.4,0.16,0.054,26.57,0.02,0.757,14.958,14.236,0.108,,22.644,,,,,,,7731.4,7784.9,7939.2,8180.5,35.322,0.137,35.787,0.031,35.787,0.031,-20.829,0.316
IC3772,43123,G ,12.7422766,36.803758,12.7822485,36.5309407,128.4490328,80.5490868,80.5788462,7.6947595,0,Sbc,B,,,,4.2,2.1,,0.918,0.151,0.203,0.073,,22.218,0.423,16.758,0.148,15.585,0.272,,,14.342,0.076,12.279,0.137,15.001,0.42,13.616,,,13.19,0.78,,,,,,,12151,1.8,12151,1.8,0.075,0.332,53.03,0.03,0.917,15.098,14.309,,,23.542,16.51,1.01,,,14.973,-0.125,12171.4,12186.8,12359.5,12394.6,36.295,0.088,,,36.295,0.088,-21.197,0.286
IC4062,44836,G ,12.9775917,40.1278473,13.0162856,39.8589374,114.6957623,77.116443,77.8970639,11.1127735,0,SABb,B,,,,4.2,3,,0.579,0.371,0,0.081,,,,,,14.89,0.032,,,,,13.49,0.1,,,,,,,,,,292.49,25,,,10848.8,4.1,10848.8,4.1,0.063,0,0,0.02,0.585,14.756,,,,21.525,,,,,,,10892.6,10901.7,11074.4,11070.8,36.055,0.098,35.38,0.2,35.924,0.338,-21.168,0.339
IC4221,46366,G ,13.2641335,-14.3460905,13.3084292,-14.608875,312.6952904,47.7491059,132.0968938,1.5482136,0,SBc,B,R,,,4.7,1.4,,1.187,0.076,0.337,0.04,167,,,,,13.58,0.5,,,,,10.341,0.121,15.28,0.092,12.998,,,94.86,3.48,,,,,2898.1,3.8,2889,3,2892.5,3.6,0.352,0.559,65.24,0.04,1.207,12.653,,,,22.63,104.46,3.88,,,15.24,2.587,2713.1,2787.2,2896.2,3206.1,33.129,0.375,,,33.129,0.375,-20.476,0.625
IC4229,46717,G ,13.3309667,-2.1574505,13.373936,-2.4185821,318.3359513,59.5228853,120.6540644,5.9332615,0,Sb,B,R,M,,2.9,0.6,,0.902,0.053,0.077,0.026,,20.949,0.529,15.789,0.097,14.303,0.286,,,13.32,0.058,10.87,0.078,16.072,0.245,12.96,,,62.24,5.07,,,,,6962,8.5,6952.2,2.8,6953.2,2.8,0.148,0.114,34.48,0.02,0.913,13.988,13.255,,,22.425,109.95,9.23,,,16.051,2.062,6821.8,6884.4,7019.1,7263.9,35.055,0.155,,,35.055,0.155,-21.066,0.325
IC4239,46872,G ,13.3683335,31.2194895,13.4070689,30.9593108,62.8773218,81.8394003,87.7566608,14.1768778,0,S0-a,B,R,,,0,1.1,,0.945,0.05,0.143,0.029,132.29,22.785,0.745,16.459,0.352,15.194,0.286,,,13.793,0.079,11.494,0.12,16.515,0.257,,,,246.01,6.24,,,,,14501,6.2,14539.2,4.8,14525,13.4,0.065,0.06,48.36,0.02,0.946,14.851,13.765,,,23.573,329.19,8.76,,,16.494,1.643,14541.9,14561.8,14733.6,14765.7,36.682,0.074,37.11,0.076,36.889,0.214,-22.038,0.357
IC4252,47150,G ,13.4115814,-27.0657056,13.4577923,-27.3247384,312.691709,34.8633174,144.8641341,-0.2057344,0,E-S0,,,,,-3.1,0.6,,1.3,0.035,0.266,0.026,135.18,22.048,0.364,,,14.137,0.088,13.05,0.1,11.94,0.077,9.895,0.097,,,,,,,,,,310.01,9.58,,,13564.9,23.1,13564.9,23.1,0.232,0,90,0.83,1.32,13.701,11.838,,,24.344,,,0.318,0.007,,,13353.3,13434,13510.5,13856,36.493,0.08,,,36.493,0.08,-22.791,0.119
IC4423,51549,G ,14.400979,26.4705164,14.4382494,26.2461703,35.9688282,68.8249177,94.5981614,27.0384228,0,Sbc,,,,,4.2,2.5,,1.008,0.044,0.25,0.024,71.26,,,,,15.447,0.32,,,,,11.355,0.106,16.49,0.21,,,,193.46,5.52,,,,,9071.7,3.4,9115,68,9071.8,2,0.082,0.406,57.98,0.03,1.005,14.9,,,,23.769,228.17,6.61,,,16.458,1.558,9113.2,9130.2,9292.6,9269.7,35.663,0.117,35.971,0.039,35.939,0.154,-21.039,0.355
NGC0105,1583,G ,0.3781801,12.6069637,0.4213306,12.8838333,113.0915568,-49.4874592,307.0272877,10.4739706,0,Sab,,,M,,1.7,0.7,,0.909,0.12,0.096,0.057,169.66,,,,,13.914,0.023,13.204,0.023,,,10.386,0.049,15.948,0.297,12.911,,,147.05,5.1,,,,,5168,5.3,5290,26,5172.8,17.2,0.319,0.114,38.76,0.02,0.936,13.43,,,0.578,22.068,234.87,9.12,,,15.927,2.497,5381.9,5303.8,5192.4,4823.1,34.387,0.209,33.882,0.049,33.882,0.049,-20.452,0.054
NGC0232,2559,G ,0.6714618,-23.8351896,0.7127052,-23.5612956,93.6702733,-85.9302515,272.9466305,-3.5011997,0,SBa,B,R,,,1.1,0.5,,0.992,0.041,0.144,0.026,17.18,20.854,0.316,,,14.455,0.177,,,,,9.946,0.071,16.85,0.266,10.608,,,135.52,10.7,,,,,6675,10.9,6768,32.9,6684.2,21,0.083,0.137,47.43,0.02,0.994,14.151,,,,22.989,184,14.73,,,16.829,2.677,6728.6,6693.6,6525.4,6391.5,34.895,0.166,34.6,0.03,34.6,0.03,-20.449,0.18
NGC0252,2819,G ,0.7557443,27.3515496,0.8004091,27.6241627,122.0061826,-35.241414,322.8202851,8.7170718,0,S0-a,,R,,,-1.2,0.7,,1.209,0.066,0.146,0.049,81.66,20.945,0.389,,,13.351,0.246,,,,,9.062,0.035,16.079,0.154,,,,265.1,7.69,,,223.63,12.36,4939,3.4,4924,25.3,4938.8,2.5,0.261,0,50.88,0.03,1.229,13.016,,,,23.106,341.69,10.6,0.306,0.008,16.052,3.037,5176.7,5091.5,5015.5,4621.1,34.317,0.216,34.435,0.028,34.435,0.028,-21.419,0.248
