objname,pgc,objtype,al1950,de1950,al2000,de2000,l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,m21,e_m21,mfir,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,itc,ubtc,bvtc,bri25,vrot,e_vrot,mg2,e_mg2,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs
UGC04322,23371,G ,8.2612072,62.9880067,8.3338222,62.8305,153.5969647,33.978375,36.1180194,-9.7178931,0,E,,,,,-4.9,0.4,,1.155,0.037,0.171,0.024,51.82,,,,,14.921,0.324,,,,,10.218,0.056,,,,,,,,,,,,,,7364,24,7364,24,0.169,0,90,0.83,1.175,14.641,,,,24.541,,,,,,,7480,7446.8,7558.4,7447.4,35.216,0.144,35.17,0.03,35.17,0.03,-20.529,0.325
UGC04414,23700,G ,8.4029985,21.810502,8.4516563,21.6452736,202.4981389,30.2347002,58.2306706,-46.3560773,0,S0-a,B,R,,,0.2,0.8,,0.998,0.094,0.038,0.047,,21.478,0.972,16.203,0.038,14.412,0.257,13.482,0.257,12.932,0.1,10.676,0.032,16.881,0.42,,0.54,1.03,54.1,3.74,,,,,7561,10.6,7539.4,1.5,7539.8,2.3,0.189,0.023,25.53,0.02,1.015,14.087,12.849,0.43,0.81,23.113,125.54,9.89,,,16.859,2.773,7437.8,7459.4,7543.1,7780.6,35.204,0.144,35.399,0.066,35.364,0.097,-21.278,0.274
UGC04455,23918,G ,8.4833833,-1.0279996,8.5258031,-1.1977411,226.0713317,21.524601,87.4153099,-62.1262793,0,Sa,B,R,,,1,0.4,,0.92,0.046,0.1,0.022,13.4,22.392,0.271,,,15.493,0.878,,,12.953,0.087,11.037,0.154,,,,,,,,,,157.7,23.36,,,9272.3,30.3,9272.3,30.3,0.147,0.096,39.99,0.02,0.93,15.134,12.889,,,23.717,,,,,,,9063.9,9113.6,9163.5,9554.6,35.633,0.119,35.63,0.04,35.63,0.038,-20.496,0.878
UGC04468,24002,G ,8.5028383,41.6966683,8.5585394,41.5254498,179.6823681,36.1102944,47.2209524,-28.4026175,0,S0,,R,M,,-2,0.4,,1.308,0.033,0.361,0.031,164.78,22.554,0.245,16.036,0.011,14.505,0.31,,,12.901,0.083,10.436,0.098,,,,,,,,,,,,,,7409.1,3.2,7409.1,3.2,0.147,0,90,0.83,1.31,14.247,12.836,,,24.733,,,,,,,7410.9,7407,7514.5,7591.9,35.192,0.144,34.51,0.18,34.925,0.341,-20.678,0.461
UGC04974,26520,G ,9.3188297,34.062286,9.3695415,33.8485464,191.0317151,44.8962078,61.2258944,-29.3052524,0,S0,,,,C,-2,0.5,,1.153,0.067,0.097,0.051,16.34,21.038,0.272,15.83,0.013,14.264,0.067,13.274,0.067,13.33,0.81,10.132,0.054,,,,,1,,,,,228.15,7.39,,,6985.6,2,6985.6,2,0.077,0,43.01,0.02,1.158,14.082,13.296,,0.898,23.768,,,0.282,0.008,,,6938.9,6952.9,7075.5,7231.9,35.067,0.153,,,35.067,0.153,-20.985,0.167
UGC05129,27437,G ,9.5848586,25.7203512,9.6327768,25.4947736,203.7009636,46.8826262,70.9454029,-32.809017,0,SBa,B,,,,1.1,0.5,,1.069,0.049,0.286,0.027,104.3,21.904,0.484,15.768,0.091,14.243,0.272,,,12.975,0.071,10.587,0.07,16.18,0.092,,,,143.63,4.21,,,,,4062.2,2.9,4053.3,1.3,4054.7,2.5,0.097,0.256,64.8,0.04,1.066,13.839,12.932,,,23.013,158.75,4.72,,,16.141,2.302,3962.5,3990.5,4112.9,4340,33.888,0.264,33.81,0.03,33.81,0.03,-19.971,0.273
UGC05225,28045,G ,9.7212653,45.9839379,9.7746076,45.7525885,173.29378,49.1250673,56.2732977,-17.3601907,0,E-S0,,,,,-3.5,2.1,,1.068,0.041,0.015,0.024,,20.834,0.328,16.044,0.063,14.697,0.063,13.767,0.063,13.124,0.114,10.565,0.151,,,,0.55,1,,,,,,,,,4752.8,1.6,4752.8,1.6,0.067,0,18.09,0.02,1.077,14.559,13.095,0.52,0.869,23.795,,,,,,,4770.9,4769.9,4906.5,4959.8,34.263,0.221,,,34.263,0.221,-19.704,0.23
UGC05234,28081,G ,9.7347395,16.2745999,9.780425,16.0428333,217.6842467,45.9331502,81.5708356,-37.0362351,0,Sc,,R,,,5.4,1.1,,1.106,0.045,0.167,0.026,111,,,,,14.83,0.322,,,,,10.321,0.076,14.922,0.188,13.508,,,158.21,3.33,,,,,6013.5,3.4,6017,4.7,6014.7,2.2,0.207,0.291,48.3,0.02,1.119,14.298,,,,23.775,211.91,4.65,,,14.9,0.602,5874.1,5916.1,6031.8,6331.6,34.723,0.18,34.981,0.032,34.981,0.032,-20.683,0.324
UGC05378,28949,G ,9.9654371,4.6477204,10.0088832,4.4070964,234.3668251,43.3848398,96.6258327,-39.8922623,0,Sb,,,,,3.1,0.5,,0.987,0.051,0.308,0.025,104.28,,,15.729,0.01,14.316,0.375,,,13.626,0.072,11.371,0.074,15.525,0.189,13.673,,,116.65,2.9,,,,,4159.8,3.3,4190.2,38.1,4160.1,3.1,0.121,0.449,64.14,0.04,0.986,13.716,13.572,,,22.479,129.64,3.26,,,15.487,1.771,3966,4024,4128.8,4505.5,33.888,0.263,33.762,0.042,33.762,0.042,-20.046,0.378
UGC05542,30027,G ,10.224262,60.5346036,10.2813999,60.2848863,150.3593496,47.7834884,48.9827748,-3.9327357,0,E,,,M,C,-4.8,0.7,,0.917,0.056,0.05,0.028,128.94,21.653,0.47,16.322,0.097,14.83,0.275,,,13.141,0.093,10.776,0.053,,,,,,,,,,213.69,30.24,,,9178,3.6,9178,3.6,0.037,0,37.67,0.02,0.921,14.655,13.125,,,23.285,,,,,,,9275.9,9255,9395.3,9316.4,35.692,0.115,35.77,0.11,35.733,0.08,-21.078,0.286
