SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN2007af,0.0054,54174.1,0.4,M_SA_SN,1.04,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007al,0.0121,54168.9,0.3,M_SN,1.89,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2007ao,0.0246,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007ap,0.0158,54166.9,0.5,B,1.37,0.09,B,-19.14,0.08,-0.09,0.06,-0.07,0.07,CfA3
SN2007at,0.0542,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007au,0.02,54184,0.4,M_SN,1.69,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007ax,0.0071,54187.1,0.5,Str11,1.87,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Str11
SN2007ba,0.0385,54196.2,0.5,Str11,1.89,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Str11
SN2007bc,0.0208,54199.9,0.1,B_M_SA_SN,1.37,0.05,B,-19.29,0.08,-0.13,0.05,-0.13,0.04,CfA3
SN2007bd,0.031,54206.5,0.1,B_M_SA_SN,1.3,0.08,B,-19.21,0.06,-0.06,0.04,-0.04,0.04,CfA3
SN2007bj,0.0166,54200.2,0,SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2007bk,0.0322,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007bm,0.0062,54224.5,0.4,M_SA_SN,1.09,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007bz,0.0218,54214.9,1,B_M_SA_SN,1.05,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007ca,0.0141,54226.7,0.2,B_M_SA_SN,0.89,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007cb,0.0364,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007cc,0.0291,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007cf,0.0329,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007cg,0.0332,54228.5,1.8,B_SA,1.05,0.1,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007ci,0.018,54246.4,0.2,M_SN,1.6,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007cj,0.0082,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007co,0.027,54264.6,0.1,B_M_SA_SN,1.16,0.03,B,-19.41,0.07,-0.1,0.04,-0.08,0.04,CfA3
SN2007cp,0.0366,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007cq,0.0262,54280.6,0.2,B_M_SA_SN,1.2,0.06,B,-19.35,0.06,-0.02,0.03,0,0.03,CfA3
SN2007fb,0.018,54286.7,0.3,BSNIP,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007fc,0.0337,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007fs,0.0173,54296.3,2.1,BSNIP,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007hj,0.0143,54348.9,0.2,M_SA,1.95,0.06,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2007hu,0.0355,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007if,0.0742,54348.4,0.5,Sca10,0.71,0.06,Sca10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Sca10
SN2007ir,0.0353,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007is,0.0294,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007jg,0.0371,54365.8,0.5,Str11,1.17,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11
SN2007kd,0.0242,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007kf,0.044,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007kg,0.006,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007ki,0.0167,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007kk,0.041,54382.2,2,BSNIP,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007le,0.0068,54398.7,0.5,B_M_SA_SN,1.01,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2007nq,0.045,54397.6,0.5,Str11,1.47,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11
SN2007ob,0.0339,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007oo,0.0298,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007qe,0.0239,54428.9,0,B_M_SA_SN,1.03,0.04,B,-19.59,0.07,-0.14,0.04,-0.13,0.04,CfA3
SN2007rx,0.03,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007so,0.0298,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007sr,0.0056,54449.1,0.3,SA,1.05,0.07,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007ss,0.0155,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007su,0.0279,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007sw,0.0252,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007ux,0.0309,54460.4,1,SA,1.74,0.07,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2008A,0.0162,54478.1,0.5,B,1.28,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2008C,0.017,54465.8,0.5,Str11,1.11,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11
SN2008E,0.034,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2008L,0.0194,54492.4,0.4,B_M_SA_SN,1.38,0.06,B,-19.26,0.07,-0.13,0.07,-0.08,0.08,CfA3
SN2008Q,0.0081,54505.4,0.2,SA,1.25,0.08,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2008R,0.0135,54492.8,0.5,Str11,1.54,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11
SN2008Y,0.0697,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2008Z,0.021,54514.7,0.3,M_SA_SN,1.02,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2008ae,0.0301,54507.4,1,BSNIP,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2008af,0.0335,54501.4,0.5,B,1.33,0.08,B,-19.14,0.08,-0.08,0.07,-0.05,0.07,CfA3
SN2008ai,0.0351,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2008ar,0.0261,54534.1,0.6,M_SA_SN,1.1,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2008as,0.0198,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2008at,0.035,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2008bf,0.0246,54554.6,0.4,B_M_SA_SN,1.05,0.04,B,-19.53,0.05,-0.04,0.04,-0.01,0.04,CfA3
SNF20080514-002,0.0219,54611.7,0.5,B,1.35,0.04,B,-19.22,0.07,-0.15,0.04,-0.15,0.04,Gan10
SNF20080522-000,0.045,54621.5,0.1,SNF,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SNF20080522-011,0.0379,54616.7,0.2,SNF,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SNF20080623-001,0.043,54650,0.1,SNF,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SNF20080720-001,0.0209,54671.8,0.3,SNF,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
