SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN2000dn,0.0321,51824.2,0.3,B_M_SA_SN,1.04,0.04,B,-19.38,0.07,-0.14,0.04,-0.12,0.04,Gan10
SN2000dp,0.0345,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000ey,0.0205,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000fa,0.0213,51892.1,0.2,B_M_SA_SN,1,0.06,B,-19.52,0.07,-0.13,0.06,-0.12,0.06,CfA2
SN2000fd,0.0161,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000fo,0.0238,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001C,0.0109,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001E,0.0191,51925.6,0.8,B_M_SA_SN,0.92,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2001F,0.0229,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001G,0.0168,51929.6,2.2,M_SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001L,0.0152,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001N,0.021,51930.8,0,SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001P,0.0206,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001U,0.0291,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001V,0.0151,51972.8,0.4,B_M_SA_SN,0.82,0.05,B,-19.6,0.06,-0.09,0.05,-0.05,0.05,CfA3
SN2001ah,0.0578,52006.4,0.3,B_M_SA_SN,0.98,0.08,B,-19.62,0.07,-0.1,0.06,-0.09,0.06,CfA3
SN2001ay,0.0302,52022,0.8,Kri10,0.68,0.05,Kri10,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Kri10
SN2001az,0.0407,52032.6,0.6,B_M_SA_SN,1.09,0.06,B,-19.44,0.1,-0.1,0.05,-0.09,0.05,CfA3
SN2001bf,0.0156,52045.7,0.8,B_M_SA_SN,0.99,0.06,B,-19.52,0.1,-0.11,0.06,-0.1,0.05,CfA3
SN2001bg,0.0072,52040,0.4,B_M_SA_SN,1.06,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2001bp,0.0949,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001br,0.0209,52050.9,0.8,B_M_SA_SN,1.16,0.04,B,-19.22,0.08,-0.14,0.05,-0.13,0.05,Gan10
SN2001bs,0.0292,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001cj,0.0242,52065.3,0.5,B_M_SA_SN,0.96,0.03,B,-19.58,0.07,-0.18,0.03,-0.16,0.03,Gan10
SN2001ck,0.0347,52072.3,0.2,B_M_SA_SN,1.05,0.05,B,-19.44,0.08,-0.12,0.04,-0.12,0.04,Gan10
SN2001cp,0.0224,52088.4,0.1,B_M_SA_SN,0.88,0.03,B,-19.63,0.08,-0.15,0.04,-0.15,0.04,CfA3_Gan10
SN2001da,0.0172,52106.5,1.3,B_M_SA_SN,1.12,0.03,B,-19.29,0.07,-0.08,0.04,-0.02,0.04,CfA3_Gan10
SN2001de,0.0311,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001eb,0.0128,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001ec,0.0454,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001ed,0.0168,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001eh,0.0371,52169.5,0.3,B_M_SA,0.92,0.06,B,-19.64,0.08,-0.09,0.04,-0.09,0.04,CfA3
SN2001en,0.0164,52191.9,1.2,B_M_SA_SN,1.12,0.07,B,-19.32,0.09,-0.09,0.06,-0.07,0.07,CfA3_Gan10
SN2001eo,0.066,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001ep,0.013,52199.6,0.5,B_M_SA_SN,1.3,0.06,B,-19.27,0.07,-0.1,0.04,-0.07,0.05,CfA3
SN2001es,0.042,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001ex,0.0264,52204.1,0.5,B_M,1.56,0.12,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2001fe,0.0134,52229.2,0.1,B_M_SA_SN,1,0.07,B,-19.5,0.07,-0.08,0.05,-0.07,0.05,CfA3
SN2001fh,0.0123,52223.8,0.1,B_M_SA_SN,1.51,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2001fu,0.0057,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001gb,0.0257,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001gc,0.0193,52243.9,2,BSNIP,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001ib,0.019,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001ic,0.0442,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001ie,0.0307,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2001if,0.0377,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2001iq,0.0186,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002G,0.0338,52299.1,1.4,B_M_SA_SN,1.25,0.04,B,-19.35,0.09,-0.1,0.05,-0.19,0.05,CfA3_Gan10
SN2002H,0.0223,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002I,0.0234,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002ar,0.0302,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2002av,0.049,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002aw,0.0265,52324.4,0.9,B_M_SA_SN,1.05,0.06,B,-19.38,0.08,-0.12,0.06,-0.06,0.06,Gan10
SN2002bf,0.0244,52337.4,1.1,B_M_SA,1.12,0.08,B,-19.34,0.09,-0.09,0.07,-0.05,0.07,CfA3_Jha07
